Code,Nom Français,Nom Anglais,Latitude,Longitude,Source coordonnées,Lien Google Maps
Baudin381,Cap Degérando,Cape Degerando,,,,
Baudin382,C Forestier,"Cape Forestier, on Freycinet Peninsula",,,,
Baudin383,ȋ du Refuge,Refuge Island,,,,
Baudin384,B. Thouin,Thouin Bay,,,,
Baudin385,C. Tourville,Cape Tourville,-42.1204,148.3075,Wikipedia — Cape Tourville (sommet),"https://www.google.com/maps?q=-42.1204,148.3075"
Baudin386,Presqu'ȋle Freycinet,"Freycinet Peninsula Historical Note: It had been sighted by Tasman in 1643, and named 'Van der Lyn', after one of the councillors of the Dutch East India Government (Moore-Robinson). Tas Field Naturalists Notes evidently state that Tasman originally applied the name 'Vanderlin Islands'. ",,,,
Baudin387,Cap Lodi,Cape Lodi,,,,
Baudin388,Pic d'Arcole,Mount Nicholas Siding? Mount Durham?,,,,
Baudin389,Piton Champagny,Mount Echo?,,,,
Baudin390,ȋle Maurouard,"Maurouard Gulch (also Maurouard beach, in St Helen town)",,,,
Baudin391,C. du Naturaliste,Cape Naturaliste  (Early alternative name was Chapman Point) ,,,,
Baudin392,Port des deux peuples,Two peoples Bay,,,,
Baudin393,Rivière des Français,Kalgan River,,,,
Baudin394,Ile de l'Observatoire,Mistaken Island,,,,
Baudin395,Anse de l'Aiguade,Waterbay PointFrenchman Bay,,,,
Baudin396,Le cap Pingré,Wilson Head,,,,
Baudin397,Cap Faujas,"Cape Faugas, Point Hillier",,,,
Baudin398,Cap Lacroix,Point Irwin,,,,
Baudin399,Iles du Casuarina,Casuarina Isles,,,,
Baudin400,Cap Mably,Point Nuyts,,,,
Baudin401,Cap Gosselin ,,,,,
Baudin402,Cap Hamelin,Cape Hamelin ,,,,
Baudin403,Pointe Freycinet,Cape Freycinet,,,,
Baudin404,Cap Mentelle,Cape Mentelle,,,,
Baudin405,Cap Clairault,Cape Clairault,,,,
Baudin406,Cap du Naturaliste ,Cape Naturaliste  ,,,,
Baudin407,Anse Depuch,Eagle Bay,,,,
Baudin408,Pointe Piquet,Point Piquet,,,,
Baudin409,Baie du Géographe,Geographe Bay,,,,
Baudin410,Riviere Vasse,Vasse River,,,,
Baudin411,Récif  du Naturaliste,Naturaliste Reefs,,,,
Baudin412,Pointe du Casuarina,Point Casuarina,,,,
Baudin413,Port Leschenault,Leschenault Estuary,,,,
Baudin414,Cap Bouvard,Cape Bouvard,,,,
Baudin415,Cap Péron,Cape Peron ,,,,
Baudin416,Ile Buache,Garden Island,,,,
Baudin417,Ile Berthollet ,Carnac Island,,,,
Baudin418,R. Giraud,STRAGGLER REEFS?,,,,
Baudin419,Entrée Moreau,Applecross,,,,
Baudin420,Isle Heirisson,Heirisson Island,,,,
